"Player ID","Round","Pick","Ov Pick","Pos","Player","Team","Fantasy Team","Time (EDT)"
"*05pj0*",6,10,75,"G","Nimari Burnett","Mich","Haron","Mar 18, 2026 1:47:03"
"*06n03*",6,11,76,"F/C","Billy Richmond","Ark","Jnacey2","Mar 18, 2026 1:47:11"
"*064f5*",6,12,77,"F/C","Jaxon Kohler","MSU","Dignazio","Mar 18, 2026 1:47:16"
"*064ih*",6,13,78,"F/C","Tyler Bilodeau","UCLA","jmiano","Mar 18, 2026 1:47:18"
"*05p9y*",7,1,79,"G","Jaron Pierre","SMU","jmiano","Mar 18, 2026 1:47:20"
"*06mse*",7,2,80,"F/C","Tomislav Ivisic","Ill","Dignazio","Mar 18, 2026 1:48:21"
"*06h4n*",7,3,81,"G","Nasir Whitlock","Leh","Jnacey2","Mar 18, 2026 1:48:38"
"*070nm*",7,4,82,"F/C","Chris Cenac","Hou","Haron","Mar 18, 2026 1:48:46"
"*06g0o*",7,5,83,"F/C","Paulius Murauskas","StMar","michaelfer","Mar 18, 2026 1:49:30"
"*06gaj*",7,6,84,"G","Silas Demary","UConn","benkunk","Mar 18, 2026 1:50:31"
"*06hcf*",7,7,85,"F/C","Coen Carr","MSU","sniels100","Mar 18, 2026 1:50:36"
"*059rv*",7,8,86,"F/C","Rienk Mast","Nebras","DAvart","Mar 18, 2026 1:51:19"
"*064ds*",7,9,87,"F/C","Malik Reneau","Mia-FL","Mcriqui","Mar 18, 2026 1:51:46"
"*06msj*",7,10,88,"F/C","Jayden Quaintance","KY","Dgross21","Mar 18, 2026 1:51:48"
"*06msw*",7,11,89,"G","Robert Wright","BYU","DamatoN","Mar 18, 2026 1:52:05"
"*064vh*",7,12,90,"G","Tre White","Kan","AJA2026","Mar 18, 2026 1:52:52"
"*064f6*",7,13,91,"F/C","Carson Cooper","MSU","Bradfrey","Mar 18, 2026 1:53:07"
"*custom-tramonmark*",8,1,92,"G","Tramon Mark","Tex","Bradfrey","Mar 18, 2026 1:54:07"
"*06mts*",8,2,93,"F/C","Flory Bidunga","Kan","AJA2026","Mar 18, 2026 1:54:28"
"*06gmk*",8,3,94,"G","Melvin Council","Kan","DamatoN","Mar 18, 2026 1:54:57"
"*064ht*",8,4,95,"F/C","Robbie Avila","StLou","Dgross21","Mar 18, 2026 1:54:59"
"*070ms*",8,5,96,"G","Wes Enis","SoFL","Mcriqui","Mar 18, 2026 1:55:15"
"*06duu*",8,6,97,"F/C","Blake Buchanan","IaSt","DAvart","Mar 18, 2026 1:55:25"
"*06gad*",8,7,98,"G","Sam Lewis","UVA","sniels100","Mar 18, 2026 1:55:57"
"*07108*",8,8,99,"G","Dame Sarr","Duke","benkunk","Mar 18, 2026 1:56:04"
"*06gra*",8,9,100,"G","Dontae Horne","PVAM","michaelfer","Mar 18, 2026 1:57:05"
"*064j4*",8,10,101,"G","Tre Donaldson","Mia-FL","Haron","Mar 18, 2026 1:57:17"
"*06vye*",8,11,102,"F/C","Amari Allen","Bama","Jnacey2","Mar 18, 2026 1:57:24"
"*0655r*",8,12,103,"G","Tavari Johnson","Akr","Dignazio","Mar 18, 2026 1:57:30"
"*06mxo*",8,13,104,"G","C.J. Cox","Pur","jmiano","Mar 18, 2026 1:58:30"
"*06mzx*",9,1,105,"F/C","Aiden Sherrell","Bama","jmiano","Mar 18, 2026 1:58:32"
"*06nfa*",9,2,106,"G","Mikey Lewis","StMar","Dignazio","Mar 18, 2026 1:58:57"
"*064zd*",9,3,107,"G","Michael Collins","UtSt","Jnacey2","Mar 18, 2026 1:59:19"
"*06mtu*",9,4,108,"F/C","Braden Frager","Nebras","Haron","Mar 18, 2026 1:59:34"
"*06gmg*",9,5,109,"G","Christian Hammond","SCla","michaelfer","Mar 18, 2026 2:00:21"
"*07105*",9,6,110,"G","Nikolas Khamenia","Duke","benkunk","Mar 18, 2026 2:01:10"
"*064h4*",9,7,111,"F/C","Henri Veesaar","UNC","sniels100","Mar 18, 2026 2:01:18"
"*072c9*",9,8,112,"G","Davis Fogle","Gonz","DAvart","Mar 18, 2026 2:02:04"
"*06glj*",9,9,113,"G","Dailyn Swain","Tex","Mcriqui","Mar 18, 2026 2:03:04"
"*06n02*",9,10,114,"F/C","Karter Knox","Ark","Dgross21","Mar 18, 2026 2:03:06"
"*064fk*",9,11,115,"G","Roddy Gayle","Mich","DamatoN","Mar 18, 2026 2:03:27"
"*066nx*",9,12,116,"F/C","AK Okereke","Vand","AJA2026","Mar 18, 2026 2:04:26"
"*06h58*",9,13,117,"F/C","Alvaro Folgueiras","Iowa","Bradfrey","Mar 18, 2026 2:05:27"
"*06pt5*",10,1,118,"G","Ian Jackson","StJon","Bradfrey","Mar 18, 2026 2:05:29"
"*06n4u*",10,2,119,"G","Jeremiah Wilkinson","UGA","AJA2026","Mar 18, 2026 2:06:22"
"*06g1q*",10,3,120,"F/C","Jayden Ross","UConn","DamatoN","Mar 18, 2026 2:06:39"
"*065cy*",10,4,121,"G","Mason Falslev","UtSt","Dgross21","Mar 18, 2026 2:06:41"
"*064jf*",10,5,122,"G","B.J. Edwards","SMU","Mcriqui","Mar 18, 2026 2:06:56"
"*072cc*",10,6,123,"G","Mario Saint-Supery","Gonz","DAvart","Mar 18, 2026 2:07:01"
"*06562*",10,7,124,"G","Donovan Atwell","TxTch","sniels100","Mar 18, 2026 2:07:32"
"*05pyg*",10,8,125,"G","J'Vonne Hadley","Lou","benkunk","Mar 18, 2026 2:08:33"
"*06py3*",10,9,126,"F/C","Elijah Mahi","SCla","michaelfer","Mar 18, 2026 2:09:33"
"*05wpr*",10,10,127,"G","Sam Hoiberg","Nebras","Haron","Mar 18, 2026 2:10:17"
"*06gcv*",10,11,128,"F/C","J.P. Estrella","Tenn","Jnacey2","Mar 18, 2026 2:10:25"
"*06n74*",10,12,129,"G","Terrence Hill","VCU","Dignazio","Mar 18, 2026 2:10:33"
"*06n0p*",10,13,130,"G","Isaiah Brown","Fla","jmiano","Mar 18, 2026 2:11:03"
